longitude,latitude,depth,temperature,salinity
-3.6287,36.2992,296.6,13.2461,38.4684
-3.6287,36.2992,297.6,13.2461,38.4685
-3.6287,36.2992,298.6,13.2462,38.4689
-3.6287,36.2992,299.6,13.2465,38.4684
-3.6287,36.2992,300.6,13.2463,38.4689
-3.6287,36.2992,301.5,13.2465,38.4696
-3.6287,36.2992,302.5,13.2476,38.4699
-3.6287,36.2992,303.5,13.2484,38.4712
-3.6287,36.2992,304.5,13.2486,38.4726
-3.6287,36.2992,305.5,13.249,38.4735
-3.6287,36.2992,306.5,13.2487,38.474
-3.6287,36.2992,307.5,13.2484,38.4755
-3.6287,36.2992,308.5,13.2496,38.4779
-3.6287,36.2992,309.5,13.2504,38.4804
-3.6287,36.2992,310.5,13.2503,38.4795
-3.6287,36.2992,311.5,13.2505,38.4808
-3.6287,36.2992,312.5,13.2503,38.4811
-3.6287,36.2992,313.4,13.2503,38.4812
-3.6287,36.2992,314.4,13.2504,38.4821
-3.6287,36.2992,315.4,13.2506,38.4827
-3.6287,36.2992,316.4,13.2505,38.4829
-3.6287,36.2992,317.4,13.2504,38.4842
-3.6287,36.2992,318.4,13.2506,38.485
-3.6287,36.2992,319.4,13.2506,38.4856
-3.6287,36.2992,320.4,13.2505,38.486
-3.6287,36.2992,321.4,13.2502,38.4869
-3.6287,36.2992,322.4,13.25,38.4872
-3.6287,36.2992,323.4,13.2505,38.4867
-3.6287,36.2992,324.3,13.2502,38.4872
-3.6287,36.2992,325.3,13.2501,38.4878
-3.6287,36.2992,326.3,13.25,38.4873
-3.6287,36.2992,327.3,13.2493,38.4876
-3.6287,36.2992,328.3,13.2488,38.4881
-3.6287,36.2992,329.3,13.2492,38.4883
-3.6287,36.2992,330.3,13.2488,38.4883
-3.6287,36.2992,331.3,13.2481,38.4883
-3.6287,36.2992,332.3,13.2472,38.4883
-3.6287,36.2992,333.3,13.2473,38.4884
-3.6287,36.2992,334.3,13.2471,38.4894
-3.6287,36.2992,335.2,13.2473,38.4903
-3.6287,36.2992,336.2,13.2474,38.4905
-3.6287,36.2992,337.2,13.2473,38.4904
-3.6287,36.2992,338.2,13.2473,38.4915
-3.6287,36.2992,339.2,13.2472,38.4916
-3.6287,36.2992,340.2,13.246,38.4919
-3.6287,36.2992,341.2,13.2442,38.4918
-3.6287,36.2992,342.2,13.2442,38.4921
-3.6287,36.2992,343.2,13.2443,38.4928
-3.6287,36.2992,344.2,13.2439,38.4927
-3.6287,36.2992,345.2,13.2439,38.4926
-3.6287,36.2992,346.1,13.2439,38.4928
-3.6287,36.2992,347.1,13.2439,38.493
-3.6287,36.2992,348.1,13.2435,38.4931
