PI,SIGMA,NAME
4.03070642515875,24.8721653569532,aaa
4.02699827518334,24.8751576175571,aaa
4.01973671802019,24.8811397966633,aaa
4.01603910807676,24.8841297149377,aaa
3.98546456183008,24.8885039023787,aaa
3.92125556688127,24.9001910293109,aaa
3.64872470672512,24.9639416132529,aaa
3.92257306705811,24.9001910293109,aaa
3.92245317966796,24.9001910293109,aaa
3.92229009635404,24.9001910293109,aaa
3.92214785759202,24.9001910293109,aaa
3.92199965495987,24.9001910293109,aaa
3.92184995640555,24.9001910293109,aaa
3.9217017410057,24.9001910293109,aaa
3.91802880249754,24.9031696003265,aaa
3.9214030565124,24.9001910293109,aaa
3.91773099203104,24.9031696003265,aaa
3.91405969074707,24.906147388617,aaa
3.89982785369301,24.9180507122392,aaa
3.7541652942393,25.0616221222322,aaa
3.79449464191552,25.0292537158894,aaa
3.80142672127444,25.0233583118832,aaa
3.80127950875498,25.0233583118832,aaa
3.8239902709679,25.0250435924197,aaa
3.85028858785277,25.0237729257474,aaa
3.91577766138821,25.0317482678645,aaa
3.59406997028412,25.0109591495591,aaa
3.62114894689263,25.0290639502193,aaa
3.96854188600068,24.8613984300973,aaa
3.98463603982725,24.8689754807115,aaa
3.98852657480645,24.9080209354206,aaa
3.96551241490649,24.9483693730804,aaa
3.93152054672358,24.9556531900512,aaa
3.92075809013558,24.9645619151881,aaa
3.89397827096853,24.9658824141336,aaa
3.86024942415974,24.9731203620204,aaa
3.76535981520438,25.0111380592975,aaa
3.63853487858402,25.0559588849321,aaa
3.88109786226247,24.8294891948735,aaa
3.81119015822184,24.8890706320092,aaa
3.79364364941042,24.9039170365265,aaa
3.71700371695973,24.927261584086,aaa
3.87706676372194,24.7904171120733,aaa
3.82970847605562,24.8097442734143,aaa
3.772187026621,24.8379378305897,aaa
3.68056291790644,24.8956426337479,aaa
3.73604901516429,24.8482014291703,aaa
3.73247176962397,24.851172388906,aaa
3.72543043625009,24.8571119560918,aaa
3.72926089006206,24.8541425645849,aaa
3.84421979209341,24.839818637156,aaa
3.82668581903596,24.8547192041456,aaa
3.81610239306561,24.8636501509422,aaa
3.80551616421216,24.872574048914,aaa
3.78802601430874,24.8874315397418,aaa
3.72194880113201,24.818177500277,aaa
3.72181761445248,24.818177500277,aaa
3.70262697448192,24.813573354864,aaa
